Sitename,Country,Latitude,Longitude,LAI,Time of Measurement,Year_LAI,Methodology/ remarks,Biome,Biomecover,Dominant species,Author,Year_pub,ANPP,BNPP,TNPP,Elevation (m),Age,Remarks/ original source,Unnamed: 19
N/A                                                               , Japan              ,43.22,142.42,2.4,                      N/A ,1956, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Satoo, et al.                            ",1956,867,-999,-999,          230-260 ,-999,                                                                                               ,
N/A                                                               , Japan              ,43.22,142.42,5.6,                      N/A ,      1970a , X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Satoo                                    ,      1970a ,808,-999,-999,          230-260 ,-999,                                                                                               ,
"Noe Woods, Madison, WI                                            ", USA                ,43.03,-89.4,4.4,                      N/A ,  1970-1972 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus spp.                                             ," Loucks, O.L.; Lawson, G.J.               ",1981,819,662,1481,274,130,                                                                                               ,
"Nakoma, Madison, WI                                               ", USA                ,43.03,-89.4,2.9,                      N/A ,  1970-1972 , X                                                      ,Forest / TeBLD                    , Forest / TeDBL    , Quercus spp.                                             ," Loucks, O.L.; Lawson, G.J.               ",1981,-999,-999,-999,274,130,                                                                                               ,
"Grady Tract, Madison, WI                                          ", USA                ,43.03,-89.4,6.8,                      N/A ,1989, B and SLA (projected LAI)                              ,Forest / mixed hardwood           , Forest / TeDBL    , N/A                                                      ," Bolstad, P.V. and S.T. Gower             ",1990,-999,-999,-999,-999,-999,                                                                                               ,
"Galistel Woods, Madison, WI                                       ", USA                ,43.03,-89.4,6.7,                      N/A ,1989, B and SLA (projected LAI)                              ,Forest / mixed hardwood           , Forest / TeDBL    , N/A                                                      ," Bolstad, P.V. and S.T. Gower             ",1990,-999,-999,-999,-999,-999,                                                                                               ,
"Wingra Woods, Madison, WI                                         ", USA                ,43.03,-89.4,5.6,                      N/A ,1989, B and SLA (projected LAI)                              ,Forest / mixed hardwood           , Forest / TeDBL    , N/A                                                      ," Bolstad, P.V. and S.T. Gower             ",1990,-999,-999,-999,-999,-999,                                                                                               ,
"Noe Woods, Madison, WI                                            ", USA                ,43.03,-89.4,4.8,                      N/A ,1989, B and SLA (projected LAI)                              ,Forest / mixed hardwood           , Forest / TeDBL    , N/A                                                      ," Bolstad, P.V. and S.T. Gower             ",1990,-999,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Japan              ,43,144,2.9,                      N/A ,1961, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Tadaki, et al.                           ",1961,410,-999,-999,70,-999,                                                                                               ,
southwestern Wisconsin                                            , USA                ,42.98,-90.12,6.1,                      N/A ,        N/A , B                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Acer saccharum                                           ," Ellsworth, D.S. and P.B. Reich           ",1993,-999,-999,-999,360,  60-80 ,                                                                                               ,
San Juan                                                          , Spain              ,42.5,-0.65,11.87,                      N/A ,1972, X                                                      ,Forest / TeNLE                    , Forest / TeENL    , Pinus sylvestris                                         ," Alvera, B.                               ",1973,1756,-999,-999,1230,40,                                                                                               ,
"Harvard Forest, MA                                                ", USA                ,42.5,-72.2,      3.2 - 5.5 ,                      N/A ,        N/A , X                                                      ,Forest / temp deciduous           , Forest / TeDBL    , Quercus and others                                       ," Martin, M.M.                             ",-999,-999,-999,-999,-999,-999,                                                                                               ,
"Castelporziano Estate, Rome                                       ", Italy              ,41.75,12.37,2.5,          throughout year ,1993, B & E                                                  ,Mediterranean maquis dunes        , Shrub             ," Quercus ilex, Phillyrea latifolia, etc.                  "," Gratani, L.                              ",1995,-999,-999,-999,-999,-999,                                                                                               ,
"Castelporziano Estate, Rome                                       ", Italy              ,41.75,12.37,2.63,                24th June ,1987, A                                                      ,Shore/ sand dunes                 , N/A               , Eryngium maritimum                                       ," Gratani, L. and E. Fiorentino            ",1988,-999,-999,-999,-999,-999,mean of 25 samples                                                                             ,
"Castelporziano Estate, Rome                                       ", Italy              ,41.75,12.37,0.61,                24th June ,1987, A                                                      ,Shore/ sand dunes                 , N/A               , Pancratium maritimum                                     ," Gratani, L. and E. Fiorentino            ",1988,-999,-999,-999,-999,-999,mean of 25 samples                                                                             ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,1.6,                   summer ,1982, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,1.8,                   spring ,1982, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,1.4,            fall (autumn) ,1982, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,2.6,                   summer ,1981, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,1.9,                   spring ,1981, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Mead, NE                                                          ", USA                ,41.22,-96.48,2,            fall (autumn) ,1981, A                                                      ,Grassland / Pasture               , Grassland         , Bromus inermis                                           ," Engel, R.K. et al.                       ",1987,-999,-999,-999,-999,-999,unfertilized pasture                                                                           ,
"Troy Mdw, NJ                                                      ", USA                ,40.85,-74.37,8.4,                      N/A ,        N/A , 16.71 reported (2-sided?)                              ,Wetland / marsh                   , Wetland           , Carex spp.                                               ," Jervis, R.A.                             ",1969,1904,-999,-999,-999,-999,                                                                                               ,
"Troy Mdw, NJ                                                      ", USA                ,40.85,-74.37,8.2,                      N/A ,        N/A , 16.42 reported (2-sided?)                              ,Wetland / marsh                   , Wetland           , Carex spp.                                               ," Jervis, R.A.                             ",1969,1699,-999,-999,-999,-999,                                                                                               ,
"Troy Mdw, NJ                                                      ", USA                ,40.85,-74.37,7.4,                      N/A ,        N/A , 14.77 reported (2-sided?)                              ,Wetland / marsh                   , Wetland           , Carex spp.                                               ," Jervis, R.A.                             ",1969,1491,-999,-999,-999,-999,                                                                                               ,
"Troy Mdw, NJ                                                      ", USA                ,40.85,-74.37,6.8,                      N/A ,        N/A , 13.61 reported (2-sided?)                              ,Wetland / marsh                   , Wetland           , Ziziana aquatica                                         ," Jervis, R.A.                             ",1969,1547,-999,-999,-999,-999,                                                                                               ,
"Brookhaven, NY                                                    ", USA                ,40.83,-72.9,3.8,                      N/A ,1964, trees 3.4; shrubs 0.4                                  ,Forest / mixed temperate          , Forest / TeDBL    , Quercus spp.                                             ," Whittaker, R.H.; G.M. Woodwell           ",1969,859,337,1196,0,43,                                                                                               ,
"CPER Pawnee, CO                                                   ", USA                ,40.82,-104.77,0.5,                     June ,        N/A , max value                                              ,Grassland                         , Grassland         , Bouteloua gracilis                                       ," Knight, D.H.                             ",1972,-999,-999,-999,1625,1,                                                                                               ,
"Troy Township, OH                                                 ", USA                ,40.68,-82.65,  7.1 (4.0-9.6) ,        July and November ,1982," A, E (""litter intercept"")                              ",N/A                               , Forest / TeDBL    , Acer rubrum                                              ," Kangas, P.C. and H.H. Caswell            ",1987,-999,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,40.67,-73.17,3.4,                      N/A ,1968, X                                                      ,TEMXD                             , N/A               , N/A                                                      ," Whittaker, et al.                        ",1968,989,260,1249,25,-999,                                                                                               ,
N/A                                                               , USA                ,40.65,-73.12,5.9,                      N/A ,        N/A , X                                                      ,Forest / temp EG                  , Forest / TeEBL    , Ilex opaca                                               ," Art, H.W. in Art and Marks               ",1978,1075,-999,-999,-999,150,                                                                                               ,
N/A                                                               , USA                ,40.5,-74,3.8,                      N/A ,        N/A , X                                                      ,Forest                            , N/A               , N/A                                                      , WHITTAKER & WOODWELL                     ,1969,-999,-999,1350,-999,-999,unable to confirm LAI value in reference provided                                              ,
"Lincoln, NE                                                       ", USA                ,40.48,-96.4,3.18,              29th August ,1988, A (full seed stage of growth)                          ,Crops / soybean                   , Crops             , Glycine max                                              ," Welles, J.M. and J.M. Norman             ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Lincoln, NE                                                       ", USA                ,40.48,-96.4,2.7,"   0700, 17 May (Day 137) ",1989, A                                                      ,Crops / wheat                     , Crops             , Triticum aestivum                                        ," Welles, J.M. and J.M. Norman             ",1991,-999,-999,-999,-999,-999,                                                                                               ,
Brownfield Woods                                                  , USA                ,40.15,-88.17,2.5,                      N/A ,1968, A: herb layer only                                     ,Forest / temperate                , N/A               , Hydrophyllum appendiculatum                              ," Bazzaz, F.A.; Bliss, L.C.                ",1971,-999,-999,-999,-999,-999,                                                                                               ,
Brownfield Woods                                                  , USA                ,40.15,-88.17,1.2,                      N/A ,1967, A: herb layer only                                     ,Forest / temperate                , N/A               , Hydrophyllum appendiculatum                              ," Bazzaz, F.A.; Bliss, L.C.                ",1971,-999,-999,-999,-999,-999,                                                                                               ,
"Niwot Ridge, CO                                                   ", USA                ,40.07,-105.6,2.2,                   August ,        N/A , D; max value                                           ,Tundra / alpine                   , Tundra            , Kobresia                                                 , Caldwell et al.                          ,1978,-999,-999,-999,3476,1,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (OG1)           ", USA                ,39.92,-107.38,4.34,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,257,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (OG2)           ", USA                ,39.92,-107.38,5.13,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,228,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (YG3)           ", USA                ,39.92,-107.38,5.63,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,172,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (OG3)           ", USA                ,39.92,-107.38,5.16,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,118,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (YG2)           ", USA                ,39.92,-107.38,5.09,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,102,                                                                                               ,
"Marvine Lakes Valley, White River Nat. Forest, CO (YG1)           ", USA                ,39.92,-107.38,8.75,                     July ,1991, C (effective projected LAI = 0.64 x 1-sided)           ,Forest / temp coniferous          , Forest / TeENL    , Picea engelmannii                                        ," Nel, E.M.W. and C.A. Wessman             ",1993,-999,-999,-999,3000,95,                                                                                               ,
Koiwai (JPTF-66)                                                  , Japan              ,39.75,141,6.68,                      N/A ,1966, X                                                      ,Plantation / larch                , Forest / BoTeDNL  , Larix leptolepis                                         ," Satoo, T.                                ",1970,1449,264,1715,360,39,                                                                                               ,
N/A                                                               , Japan              ,39.75,141,6.6,                      N/A ,        N/A , X                                                      ,                                  , Forest / BoTeDNL  , Larix                                                    ," Satoo, T.                                ",1970,-999,-999,1846,-999,-999,                                                                                               ,
"Eastern Sierra Nevada, Reno, NV                                   ", USA                ,39.55,-119.76,2.84,                      N/A ,        N/A , C                                                      ,desert / sagebrush steppe         , desert            , Pinus ponderosa                                          ," Carey, E.V. et al.                       ",1998,-999,-999,-999,        1500-1750 ,-999,tree LAI not stand                                                                             ,
N/A                                                               , USA                ,39.33,-123.83,2.1,                      N/A ,        N/A , X                                                      ,Forest                            , N/A               , N/A                                                      ," WESTMAN, WHITTAKER                       ",1975,307,96,403,-999,-999,unable to confirm LAI value in reference provided                                              ,
Kansas                                                            , USA                ,39.15,-96.62,3.5,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Garcia, R.                               ",1988,1962,-999,-999,-999,-999,                                                                                               ,
Kansas                                                            , USA                ,39.15,-96.62,1.5,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Triticum aestivum                                        ," Garcia, R.                               ",1988,1419,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,3.9,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,678,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,4.5,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,639,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,3.3,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,637,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,3.4,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,580,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,2.8,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,538,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , USA                ,39.1,-86.1,2.6,                      N/A ,1996, litterfall/SLA                                         ,TEDBL                             , Forest / TeDBL    , N/A                                                      , Jose and Gillespie                       ,1996,489,-999,-999,-999,-999,                                                                                               ,
"FIFE, tallgrass prairie, Konza LTER, KS                           ", USA                ,39.1,-94.6,      0.5 - 3.5 ,                      N/A ,        N/A , X                                                      ,Grassland / temperate             , Grassland         , Andropogon                                               ," Asrar, G. et al.                         ",1984,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,0.29,                  October ,1987, E; helicopter remote sensing (mean)                    ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Morrow, N. and M.A. Friedl               ",1998,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,1.25,                 late May ,1987, E; helicopter remote sensing (mean)                    ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Morrow, N. and M.A. Friedl               ",1998,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        0.6-1.3 ,               mid-August ,1987, based on SLA (unburned sites)                          ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        0.5-0.6 ,                 late May ,1987, based on SLA (unburned sites)                          ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        0.9-1.2 ,                late June ,1987, based on SLA (unburned sites)                          ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        0.7-1.3 ,               mid-August ,1987, based on SLA (burned sites)                            ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        0.7-0.8 ,                 late May ,1987, based on SLA (burned sites)                            ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,        2.2-2.4 ,                late June ,1987, based on SLA (burned sites)                            ,Grassland / Tallgrass prairie     , Grassland         , Andropogon gerardii                                      ," Schimel, D.S. et al.                     ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Konza Prairie, KS                                                 ", USA                ,39.1,-96.61,3.3,               early July ,1988, A                                                      ,Grassland / temperate             , Grassland         ," Sorghastrum, Panicum, Andropogon                         "," Welles, J.M. and J.M. Norman             ",1991,-999,-999,-999,-999,-999,                                                                                               ,
"Pleasant Run, Hoosier National Forest, IN                         ", USA                ,38.94,-86.36,4,                  Aug-Dec ,1993, B/A (shotgun sampling for SLA)                         ,mixed hardwood forest             , Forest / TeDBL    ," Fagus grandifolia, Acer                                  "," Jose, S. and A.R. Gillespie              ",1998,603,-999,-999,-999, 60-120 ,mesic slope (middle)                                                                           ,
"Pleasant Run, Hoosier National Forest, IN                         ", USA                ,38.94,-86.37,3.3,                  Aug-Dec ,1993, B/A (shotgun sampling for SLA)                         ,mixed hardwood forest             , Forest / TeDBL    ," Quercus alba, Acer                                       "," Jose, S. and A.R. Gillespie              ",1998,597,-999,-999,-999, 60-120 ,dry mesic slope (middle)                                                                       ,
"Pleasant Run, Hoosier National Forest, IN                         ", USA                ,38.94,-86.37,2.9,                  Aug-Dec ,1993, B/A (shotgun sampling for SLA)                         ,mixed hardwood forest             , Forest / TeDBL    , Quercus prinus                                           ," Jose, S. and A.R. Gillespie              ",1998,589,-999,-999,-999, 60-120 ,dry slope (middle)                                                                             ,
"Eastern Sierra Nevada, Reno, NV                                   ", USA                ,38.91,-119.72,6.25,                      N/A ,        N/A , C                                                      ,montane                           , Forest / TeENL    , Pinus ponderosa                                          ," Carey, E.V. et al.                       ",1998,-999,-999,-999,        1830-1890 ,-999,tree LAI not stand                                                                             ,
"Georgetown, DE                                                    ", USA                ,38.7,-75.3,      0.9 - 2.5 ,       38 and 69 days old ,1992, A                                                      ,Agriculture/ crop                 , Crops             , Phaseolus lunatus                                        ," Sirait, Y. et al.                        ",1994,-999,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , China              ,38.55,110.28,5.86,                      N/A ,1990, X                                                      ,TEENL                             , Forest / TeENL    , N/A                                                      ," Xiao,Y.                                  ",1990,207,32,239,800,-999,                                                                                               ,
California                                                        , USA                ,38.5,-121.7,20.33,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,1490,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,16.6,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,1340,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,12.61,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,1176,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,10.87,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,1176,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,6.52,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,94,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,3.26,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,67,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,2.2,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,44,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
California                                                        , USA                ,38.5,-121.7,1.3,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Zea mays                                                 , Williams et al.                          ,-999,25,-999,-999,-999,-999,"Unpublished value. S.T. Gower, pers. comm.                                                     ",
N/A                                                               , China              ,38.43,108.45,9.89,                      N/A ,1990, X                                                      ,TEENL                             , Forest / TeENL    , N/A                                                      ," Xiao,Y.                                  ",1990,707,83,790,1930,-999,                                                                                               ,
Cordoba                                                           , Spain              ,38,-5,3.89,       29th June (Day 56) ,1992, X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Gimenez, C., et al.                      ",1994,823,-999,-999,-999,-999,                                                                                               ,
Cordoba                                                           , Spain              ,38,-5,3,       29th June (Day 56) ,1992, X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Gimenez, C., et al.                      ",1994,728,-999,-999,-999,-999,                                                                                               ,
Cordoba                                                           , Spain              ,38,-5,0.68,       29th June (Day 56) ,1992, X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Gimenez, C., et al.                      ",1994,228,-999,-999,-999,-999,                                                                                               ,
Cordoba                                                           , Spain              ,38,-5,0.82,       29th June (Day 56) ,1992, X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Gimenez, C., et al.                      ",1994,200,-999,-999,-999,-999,                                                                                               ,
"Etna massif, Sicily                                               ", Italy              ,37.72,14.97,      2.3 - 3.8 ,                      N/A ,        N/A , A                                                      ,N/A                               , Forest / TeDBL    , Betula astensis                                          , Leonardi S. et al.                       ,1994,-999,-999,-999,        1600-1700 ,-999,                                                                                               ,
N/A                                                               , Japan              ,37.53,136.9,18,                      N/A ,        N/A , X                                                      ,Plantation                        , Plantation        , Thujopsis dolobrata                                      ," Satoo, T., et al.                        ",1974,1918,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Japan              ,37.53,136.9,13,                      N/A ,        N/A , X                                                      ,Plantation                        , Plantation        , Thujopsis dolobrata                                      ," Satoo, T., et al.                        ",1974,1129,-999,-999,-999,-999,                                                                                               ,
N/A                                                               , Japan              ,37.5,139,7.8,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Tadaki, et al.                           ",1969,1680,160,1840,580,-999,                                                                                               ,
N/A                                                               , Japan              ,37.5,139,7.6,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Tadaki, et al.                           ",1969,1570,250,1820,470,-999,                                                                                               ,
N/A                                                               , Japan              ,37.5,139,7.7,                      N/A ,1969, X                                                      ,TEDBL                             , Forest / TeDBL    , N/A                                                      ," Tadaki, et al.                           ",1969,1470,160,1630,400,-999,                                                                                               ,
N/A                                                               , Japan              ,37.5,136.83,12.6,                      N/A ,1974, X                                                      ,TEENL                             , Forest / TeENL    , N/A                                                      ," Satoo, et al.                            ",1974,1083,-999,-999,150,-999,                                                                                               ,
N/A                                                               , Japan              ,37.5,136.83,17.5,                      N/A ,1974, X                                                      ,TEENL                             , Forest / TeENL    , N/A                                                      ," Satoo, et al.                            ",1974,1906,-999,-999,120,-999,                                                                                               ,
California                                                        , USA                ,37.4,-122.22,1.95,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Joel, G. et al.                          ",1997,786,-999,-999,-999,-999,                                                                                               ,
California                                                        , USA                ,37.4,-122.22,2.17,                      N/A ,        N/A , X                                                      ,CROPS                             , Crops             , Helianthus annuus                                        ," Joel, G. et al.                          ",1997,511,-999,-999,-999,-999,                                                                                               ,
